docs/scripts/plaesy-init.md	templates/context.template.md	mentions	INFERRED
docs/scripts/plaesy-init.md	templates/memory.template.md	mentions	INFERRED
docs/scripts/plaesy-trim.md	instructions/plaesy.instructions.md	mentions	INFERRED
docs/scripts/plaesy-trim.md	instructions/plaesy-trim.instructions.md	references	EXTRACTED
docs/scripts/plaesy-trim.md	README.md	mentions	INFERRED
docs/scripts/plaesy-trim.md	scripts/bash/plaesy-trim.sh	mentions	INFERRED
docs/scripts/plaesy-trim.md	scripts/powershell/plaesy-trim.ps1	mentions	INFERRED
docs/scripts/platform-detector.md	CLAUDE.md	mentions	INFERRED
docs/scripts/platform-detector.md	scripts/powershell/install.ps1	mentions	INFERRED
docs/scripts/platform-detector.md	scripts/powershell/plaesy-init.ps1	mentions	INFERRED
docs/scripts/platform-detector.md	scripts/powershell/platform-detector.ps1	mentions	INFERRED
docs/scripts/platform-detector.md	scripts/powershell/test-detection.ps1	mentions	INFERRED
docs/scripts/README.md	CLAUDE.md	mentions	INFERRED
docs/scripts/README.md	docs/scripts/check-task-prerequisites.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/common.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/config-manager.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/create-new-feature.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/get-feature-paths.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/inject-ai-headers.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/install.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/plaesy-analyze.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/plaesy-clean.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/plaesy-graph.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/plaesy-init.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/plaesy-trim.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/platform-detector.md	references	EXTRACTED
docs/scripts/README.md	docs/scripts/update-agent-context.md	references	EXTRACTED
docs/scripts/README.md	docs/tasks/README.md	mirrors	EXTRACTED
docs/scripts/README.md	docs/templates/README.md	mirrors	EXTRACTED
docs/scripts/README.md	docs/testing/README.md	mirrors	EXTRACTED
docs/scripts/README.md	instructions/plaesy.instructions.md	mentions	INFERRED
docs/scripts/README.md	README.md	mirrors	EXTRACTED
docs/scripts/README.md	scripts/bash/check-task-prerequisites.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/config-manager.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/create-new-feature.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/get-feature-paths.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/inject-ai-headers.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/install.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/plaesy-analyze.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/plaesy-clean.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/plaesy-init.sh	mentions	INFERRED
docs/scripts/README.md	scripts/bash/update-agent-context.sh	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/check-task-prerequisites.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/config-manager.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/create-new-feature.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/get-feature-paths.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/inject-ai-headers.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/install.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/plaesy-analyze.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/plaesy-clean.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/plaesy-init.ps1	mentions	INFERRED
docs/scripts/README.md	scripts/powershell/update-agent-context.ps1	mentions	INFERRED
docs/scripts/README.md	templates/ai-headers/README.md	mirrors	EXTRACTED
docs/scripts/README.md	templates/cloud/README.md	mirrors	EXTRACTED
docs/scripts/README.md	templates/README.md	mirrors	EXTRACTED
docs/scripts/update-agent-context.md	AGENTS.md	mentions	INFERRED
docs/scripts/update-agent-context.md	CLAUDE.md	mentions	INFERRED
docs/scripts/update-agent-context.md	scripts/bash/update-agent-context.sh	mentions	INFERRED
docs/scripts/update-agent-context.md	scripts/powershell/update-agent-context.ps1	mentions	INFERRED
docs/scripts/update-agent-context.md	templates/agent-file-template.md	mentions	INFERRED
docs/scripts/update-agent-context.md	templates/plan.template.md	mentions	INFERRED
docs/tasks/README.md	docs/templates/README.md	mirrors	EXTRACTED
docs/tasks/README.md	docs/testing/README.md	mirrors	EXTRACTED
docs/tasks/README.md	README.md	mirrors	EXTRACTED
docs/tasks/README.md	templates/ai-headers/README.md	mirrors	EXTRACTED
docs/tasks/README.md	templates/cloud/README.md	mirrors	EXTRACTED
